Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Afghanistan,AFG,..,..,..,..,..,..,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2,2,2,2
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Albania,ALB,..,..,..,..,..,3.5,3.5,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Algeria,DZA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Angola,AGO,..,..,..,..,..,2,2,2,2,2,2,2,2,2,..,..,..,..,..,..,..
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Argentina,ARG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Armenia,ARM,..,..,..,..,..,4,4,4,4,4,4,4,4,4.5,..,..,..,..,..,..,..
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Australia,AUS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Austria,AUT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Azerbaijan,AZE,..,..,..,..,..,3.5,3.5,3.5,4,4,4,..,..,..,..,..,..,..,..,..,..
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,"Bahamas, The",BHS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Bahrain,BHR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Bangladesh,BGD,..,..,..,..,..,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3,3,3,3,3,3
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Barbados,BRB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Belarus,BLR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Belgium,BEL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Belize,BLZ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Benin,BEN,..,..,..,..,..,4,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3,3.5,3.5,3.5,3.5
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Bhutan,BTN,..,..,..,..,..,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Bolivia,BOL,..,..,..,..,..,3,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,..,..,..,..,..
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Bosnia and Herzegovina,BIH,..,..,..,..,..,3.5,3.5,4,4,4,4,3.5,3.5,3.5,..,..,..,..,..,..,..
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Botswana,BWA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Brazil,BRA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Brunei Darussalam,BRN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Bulgaria,BGR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Burkina Faso,BFA,..,..,..,..,..,3,3,3,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Burundi,BDI,..,..,..,..,..,2.5,2.5,2.5,2.5,2.5,2.5,3,3,3,3,3,3,3,3,3,3
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Cabo Verde,CPV,..,..,..,..,..,4,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Cambodia,KHM,..,..,..,..,..,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3,3,2.5,2.5,2.5,2.5
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Cameroon,CMR,..,..,..,..,..,3.5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Canada,CAN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Central African Republic,CAF,..,..,..,..,..,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Chad,TCD,..,..,..,..,..,3,3,2.5,2.5,2.5,2,2,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Chile,CHL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,China,CHN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Colombia,COL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Comoros,COM,..,..,..,..,..,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3,3,3,3,3,3
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,"Congo, Dem. Rep.",COD,..,..,..,..,..,3,3,3,2,2,2,2.5,2.5,3,3,3,3,3,3,3,3
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,"Congo, Rep.",COG,..,..,..,..,..,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2,2,2,2
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Costa Rica,CRI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Cote d'Ivoire,CIV,..,..,..,..,..,3,3,3,3,3,3,3,3,3,3,3,3,3,3.5,3,3.5
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Croatia,HRV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Cuba,CUB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Cyprus,CYP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Czechia,CZE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Denmark,DNK,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Djibouti,DJI,..,..,..,..,..,3,3,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,2.5,2.5,2.5,3,3,3
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Dominica,DMA,..,..,..,..,..,4.5,4.5,4.5,4.5,4.5,4.5,4,4,4,4,4,4,3.5,3.5,3.5,3.5
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Dominican Republic,DOM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Ecuador,ECU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,"Egypt, Arab Rep.",EGY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,El Salvador,SLV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Equatorial Guinea,GNQ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Eritrea,ERI,..,..,..,..,..,2,2,2,2,2,2,2,2,1.5,1.5,1.5,1,1,1,1,1
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Estonia,EST,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Eswatini,SWZ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Ethiopia,ETH,..,..,..,..,..,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3,3,3,3.5,3.5
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Fiji,FJI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Finland,FIN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,France,FRA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Gabon,GAB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,"Gambia, The",GMB,..,..,..,..,..,3,3,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3,3,3
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Georgia,GEO,..,..,..,..,..,4,4.5,5,5.5,5.5,5.5,5.5,5.5,5.5,..,..,..,..,..,..,..
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Germany,DEU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Ghana,GHA,..,..,..,..,..,4,4,4,4,4,4.5,4.5,4.5,4.5,4,4,4,3.5,3.5,3.5,3.5
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Greece,GRC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Grenada,GRD,..,..,..,..,..,4.5,4.5,4.5,4,4,4.5,4,4,4,4,4,4,3.5,3,3,3
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Guatemala,GTM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Guinea,GIN,..,..,..,..,..,3,3,3,3,3,2.5,2.5,2.5,2.5,3,3,3,3,3,3,3
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Guinea-Bissau,GNB,..,..,..,..,..,3,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Guyana,GUY,..,..,..,..,..,3,3,3,3,3,3,3,3,3,3,3,3,3,2.5,2.5,2.5
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Haiti,HTI,..,..,..,..,..,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2,2,1.5,1.5,2,2
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Honduras,HND,..,..,..,..,..,4,4,4.5,4,3.5,3.5,3.5,3,3,3,3,3,3,2.5,2.5,2.5
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,"Hong Kong SAR, China",HKG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Hungary,HUN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Iceland,ISL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,India,IND,..,..,..,..,..,3.5,3.5,3.5,3.5,3.5,3.5,3,3,3,..,..,..,..,..,..,..
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Indonesia,IDN,..,..,..,..,..,3,3,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,"Iran, Islamic Rep.",IRN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Iraq,IRQ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Ireland,IRL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Israel,ISR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Italy,ITA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Jamaica,JAM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Japan,JPN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Jordan,JOR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,Kazakhstan,KAZ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
